Entry Number,Description Islamic Teaching,Description Scientific Discovery,Heading,Source URL,Description Islamic Teaching Cleaned,Description Scientific Discovery Cleaned,Heading Cleaned,Category_Biology and Physiology,Category_Cosmology and Science,Category_Music,Category_Natural Phenomena and Science,Category_Religious Beliefs,Type_Islamic Teaching,Type_Scientific Discovery,Type_Scientific Discovery & Islamic Teaching,Source Name_mixdownmag.com.au,Source Name_muslimgirl.com,Source Name_ods.od.nih.gov,Source Name_sites.udel.edu,Source Name_www.al-islam.org,Source Name_zamzam.com
1.0,"Do the unbelievers not see that the heavens and the earth were joined together before we separated them, and that We brought all living things into existence from water? Why do they still not believe in God? (21:30)",All scientific circles in the world today agree that the planets were originally composed of a mass of Sodium gas and that first the heavens and the earth were joined together as a single entity and then they separated from each other.,The Earth and Heavens were Joined Together,https://www.al-islam.org/authenticity-quran-shaykh-muslim-bhanji/some-brief-examples-scientific-data-quran,unbelievers see heavens earth joined together separated brought living things existence water still believe god,scientific circles world today agree planets originally composed mass sodium gas first heavens earth joined together single entity separated,earth heavens joined together,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2.0,"“We created the heavens with Our strength and power, and constantly expand them”. (51:47)","One of the most subtle discoveries in science concerns the expansion of universe, its tendency constantly to extend its boundaries. This was something completely unknown to the human being until the last century.",Expansion of Universe,https://www.al-islam.org/authenticity-quran-shaykh-muslim-bhanji/some-brief-examples-scientific-data-quran,created heavens strength power constantly expand,one subtle discoveries science concerns expansion universe tendency constantly extend boundaries something completely unknown human last century,expansion universe,0,1,0,0,0,0,0,1,0,0,0,0,1,0
3.0,"It is Allah who raised the heavens without any pillars that you see, and then presided over the Throne. He disposed the sun and the moon, each moving for a specified term. He directs the command, [and] elaborates the signs that you may be certain of encountering your Lord.(13:2).","We know that before the time of Newton, that great scientific personality, no one was aware of the force of gravity. Newton proved that the falling of objects to earth, the rotation of the moon and the Venus, the motion of the planets, and other instances of attraction are all subject to the single law, the law of universal gravity.",Force of Gravity,https://www.al-islam.org/authenticity-quran-shaykh-muslim-bhanji/some-brief-examples-scientific-data-quran,allah raised heavens without pillars see presided throne disposed sun moon moving specified term directs command elaborates signs may certain encountering lord,know time newton great scientific personality one aware force gravity newton proved falling objects earth rotation moon venus motion planets instances attraction subject single law law universal gravity,force gravity,0,1,0,0,0,0,0,1,0,0,0,0,1,0
4.0,"“There is in truth for you a lesson in your animals and flocks. We give you to drink a pure milk derived from that which is contained in their bodies, from the merging of what is held in their intestines with blood. The drinking of that is then made easy for those who drink it.” (16:66).","The substances that ensure the general nutrition of the body come from chemical transformations which occur along the length of the digestive tract. These substances come from the contents of the intestine. On arrival in the intestine at the appropriate stage of chemical transformation, they pass through its wall and towards the systemic circulation (of blood). This very precise concept is the result of the discoveries made in the chemistry and physiology of the digestive system.",Production of Milk in Animals,https://www.al-islam.org/authenticity-quran-shaykh-muslim-bhanji/some-brief-examples-scientific-data-quran,truth lesson animals flocks give drink pure milk derived contained bodies merging held intestines blood drinking made easy drink,substances ensure general nutrition body come chemical transformations occur along length digestive tract substances come contents intestine arrival intestine appropriate stage chemical transformation pass wall towards systemic circulation blood precise concept result discoveries made chemistry physiology digestive system,production milk animals,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5.0,"“Do they not look at the earth, where we created the plants in pairs”. (26:7).",It is only recently that researchers have come aware of insemination in plants and learned that every living being including plants comes into existence as the result of the merging of a male and female parts.,In Pairs,https://www.al-islam.org/authenticity-quran-shaykh-muslim-bhanji/some-brief-examples-scientific-data-quran,look earth created plants pairs,recently researchers come aware insemination plants learned every living including plants comes existence result merging male female parts,pairs,1,0,0,0,0,0,0,1,0,0,0,0,1,0
7.0,-,Music Can Also Assist Surgeons To Perform Better During Surgery,Music & Surgery,https://mixdownmag.com.au/news/music/incredible-scientific-discoveries-about-music-in-2015/,,music also assist surgeons perform better surgery,music surgery,0,0,1,0,0,0,1,0,1,0,0,0,0,0
8.0,-,Music Can Decrease Anxiety Related To Maths Tests,Music & Anxiety,https://mixdownmag.com.au/news/music/incredible-scientific-discoveries-about-music-in-2015/,,music decrease anxiety related maths tests,music anxiety,0,0,1,0,0,0,1,0,1,0,0,0,0,0
9.0,"Muslims believe that God is the creator of all things, and that God is all-powerful and all-knowing. God has no offspring, no race, no gender, no body, and is unaffected by the characteristics of human life.",-,Belief in the Oneness of God,https://sites.udel.edu/msadelaware/six-major-beliefs-in-islam/,muslims believe god creator things god god offspring race gender body unaffected characteristics human life,,belief oneness god,0,0,0,0,1,1,0,0,0,0,0,1,0,0
10.0,"Muslims believe that on the Day of Judgment, humans will be judged for their actions in this life; those who followed God’s guidance will be rewarded with paradise; those who rejected God’s guidance will be punished with hell.",-,Belief in the Day of Judgment,https://sites.udel.edu/msadelaware/six-major-beliefs-in-islam/,muslims believe day judgment humans judged actions life followed god guidance rewarded paradise rejected god guidance punished hell,,belief day judgment,0,0,0,0,1,1,0,0,0,0,0,1,0,0
11.0,"And indeed, We created humankind from an extract of clay, then placed each human as a sperm-drop in a secure place, then We developed the drop into a clinging clot of blood, then developed the clot into a lump of flesh, then developed the lump into bones, then clothed the bones with flesh, then We brought it into being as a new creation. So Blessed is Allah, the Best of Creators. THE QURAN (23:12-14)","the process of conception wherein the sperm sits in the uterus, and how it then develops into an embryo and then into a shapeless lump, before developing bony structures and covering it with flesh. These stages were not well-considered and studied until around the 17th century shortly after the invention of the microscope, and further confirmed with ultrasound technology in the 1950s. ",Embryology,https://muslimgirl.com/13-scientific-discoveries-mentioned-in-the-quran/,indeed created humankind extract clay placed human secure place developed drop clinging clot blood developed clot lump flesh developed lump bones clothed bones flesh brought new creation blessed allah best creators quran,process conception wherein sperm sits uterus develops embryo shapeless lump developing bony structures covering flesh stages studied around 17th century shortly invention microscope confirmed ultrasound technology 1950s,embryology,1,0,0,0,0,0,0,1,0,1,0,0,0,0
14.0,"And your Lord inspired the bees: “Make your homes in the mountains, the trees, and in what people construct, and feed from the flower of any fruit you please and follow the ways your Lord has made easy for you.” From their bellies comes forth liquid of varying colors, in which there is healing for people. Surely in this is a sign for those who reflect.",It was scientifically discovered later that the worker bees in the act of collecting nectar are females. Records don’t seem to have recognized worker bees as entirely female until some time around the 1800s. ,Female Bees Ingesting Nectar To Produce Honey,https://muslimgirl.com/13-scientific-discoveries-mentioned-in-the-quran/,lord inspired bees make homes mountains trees people construct feed flower fruit please follow ways lord made easy bellies comes forth liquid varying colors healing people surely sign reflect,scientifically discovered later worker bees act collecting nectar females records seem recognized worker bees entirely female time around 1800s,female bees ingesting nectar produce honey,1,0,0,0,0,0,0,1,0,1,0,0,0,0
15.0,-,"The discovery of resveratrol in wine, a natural compound with antioxidant properties, has sparked scientific interest due to its potential health benefits, such as activating longevity-associated genes and promoting cardiovascular health. However, further research is ongoing to fully understand its effects.",Reservatrol in Red Wine,https://ods.od.nih.gov/,,discovery resveratrol wine natural compound antioxidant properties sparked scientific interest due potential health benefits activating genes promoting cardiovascular health however research ongoing fully understand effects,reservatrol red wine,0,0,0,1,0,0,1,0,0,0,1,0,0,0
16.0,"Whomever Allah desires to guide, He opens his breast to Islam, and whomever He desires to lead astray, He makes his breast narrow and straitened as if he were climbing to a height. Thus does Allah lay [spiritual] defilement on those who do not have faith","It is infact a highly common place reflection on the discomfort experienced at high altitude, which increases the higher one climbs",High Altitdue,https://www.al-islam.org/authenticity-quran-shaykh-muslim-bhanji/some-brief-examples-scientific-data-quran,whomever allah desires guide opens breast islam whomever desires lead astray makes breast narrow straitened climbing height thus allah lay spiritual defilement faith,infact highly common place reflection discomfort experienced high altitude increases higher one climbs,high altitdue,0,0,0,1,0,0,0,1,0,0,0,0,1,0
17.0,And We send the fertilizing winds and send down water from the sky providing it for you to drink and you are not maintainers of its resources.,There is an role and operation of an important factor in the bringing of things to fruition: the wind,Role of Wind,https://www.al-islam.org/authenticity-quran-shaykh-muslim-bhanji/some-brief-examples-scientific-data-quran,send fertilizing winds send water sky providing drink maintainers resources,role operation important factor bringing things fruition wind,role wind,0,0,0,1,0,0,0,1,0,0,0,0,1,0
20.0,Blessed is He who appointed houses in the sky and set in it a lamp and a shining moon.,"It is known that the sun is a star that generates intense heat and light by its internal combustion, and that the moon which does not give off light itself, merely reflects the light received from the sun.",Light in the Moon is merely a Reflection ,https://www.al-islam.org/authenticity-quran-shaykh-muslim-bhanji/some-brief-examples-scientific-data-quran,blessed appointed houses sky set lamp shining moon,known sun star generates intense heat light internal combustion moon give light merely reflects light received sun,light moon merely reflection,0,0,0,1,0,0,0,1,0,0,0,0,1,0
21.0,"Quran states “he released the two seas, meeting [side by side], between them, is a barrier [so] neither of them transgresses.”","The meeting of two oceans is termed conflux. When two seas meet, their waters retain individual properties like temperature, color, and density. At a point of conflux, one can see two different water bodies running side by side. ",Oceanic Division mentions,https://zamzam.com/blog/scientific-facts-in-quran/,quran states released two seas meeting side side barrier neither transgresses,meeting two oceans termed conflux two seas meet waters retain individual properties like temperature color density point conflux one see two different water bodies running side side,oceanic division mentions,0,0,0,1,0,0,0,1,0,0,0,0,0,1
22.0,"Quran states, ' We shall send those who reject our revelations to the (hell) fire. When their skins have been burned away, we shall replace them with new ones so that they may continue to feel the pain.' This passage clearly suggests that we feel pain because of our skin.","For a long time, it was believed that the sense of feeling and pain is because of the brain. But, a scientific study recently found out that our skin features pain receptors due to which we feel pain and agony.",Pain Receptors in Quran,https://zamzam.com/blog/scientific-facts-in-quran/,quran states shall send reject revelations hell fire skins burned away shall replace new ones may continue feel pain passage clearly suggests feel pain skin,long time believed sense feeling pain brain scientific study recently found skin features pain receptors due feel pain agony,pain receptors quran,1,0,0,0,0,0,0,1,0,0,0,0,0,1
